epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2778.9,0.61726,0.47359,1.16442,0.90982,0.8962,0.95256,0.81905,0.6652,0.39681,1.18909,0.0004358,0.0004358,0.0004358
81,2812.97,0.62921,0.48215,1.17726,0.90269,0.89472,0.94953,0.81992,0.6668,0.39549,1.2082,0.000416,0.000416,0.000416
82,2847.66,0.62659,0.46498,1.16827,0.89631,0.89952,0.95318,0.82365,0.63808,0.41067,1.16476,0.0003962,0.0003962,0.0003962
83,2882.53,0.61201,0.4714,1.15101,0.88909,0.91556,0.95482,0.81229,0.69266,0.40778,1.22775,0.0003764,0.0003764,0.0003764
84,2916.63,0.61247,0.45397,1.16492,0.89051,0.90831,0.95627,0.81688,0.68861,0.41032,1.2116,0.0003566,0.0003566,0.0003566
85,2952.04,0.61096,0.46832,1.16351,0.90072,0.89594,0.95386,0.8136,0.69178,0.42973,1.20684,0.0003368,0.0003368,0.0003368
86,2986.03,0.62125,0.45528,1.1558,0.91058,0.89086,0.95201,0.81653,0.69575,0.42436,1.21946,0.000317,0.000317,0.000317
87,3021.36,0.60561,0.44542,1.16027,0.89441,0.88832,0.95082,0.81717,0.66774,0.40147,1.19225,0.0002972,0.0002972,0.0002972
88,3055.38,0.61761,0.45974,1.16094,0.89189,0.90038,0.95569,0.82095,0.66721,0.41036,1.19512,0.0002774,0.0002774,0.0002774
89,3089.77,0.60981,0.45644,1.14991,0.89642,0.90863,0.95662,0.81226,0.68014,0.38998,1.2046,0.0002576,0.0002576,0.0002576
90,3124.79,0.59792,0.44168,1.14755,0.89073,0.91117,0.9552,0.80822,0.71249,0.42421,1.22622,0.0002378,0.0002378,0.0002378
91,3161.3,0.46783,0.32393,1.0934,0.87827,0.91562,0.94797,0.79962,0.70307,0.40857,1.2265,0.000218,0.000218,0.000218
92,3194.88,0.45542,0.30064,1.09217,0.91088,0.90799,0.95322,0.81165,0.68996,0.39573,1.21351,0.0001982,0.0001982,0.0001982
93,3228.16,0.44943,0.29845,1.09126,0.89801,0.89848,0.94873,0.81416,0.65915,0.39579,1.18885,0.0001784,0.0001784,0.0001784
94,3262.69,0.44574,0.28907,1.083,0.88961,0.92039,0.95303,0.82419,0.65357,0.39206,1.188,0.0001586,0.0001586,0.0001586
95,3295.95,0.44754,0.28808,1.08792,0.89138,0.91371,0.95623,0.81913,0.65577,0.39588,1.18913,0.0001388,0.0001388,0.0001388
96,3329.16,0.44282,0.2865,1.08,0.89243,0.8934,0.94766,0.81742,0.64908,0.40368,1.18537,0.000119,0.000119,0.000119
97,3363.78,0.43145,0.2776,1.07519,0.88803,0.91117,0.94799,0.82121,0.65617,0.39544,1.19101,9.92e-05,9.92e-05,9.92e-05
98,3397.16,0.42563,0.27565,1.06474,0.8949,0.9077,0.94554,0.81614,0.65729,0.39112,1.19259,7.94e-05,7.94e-05,7.94e-05
99,3430.96,0.42947,0.27192,1.07496,0.89923,0.89848,0.94425,0.81595,0.66875,0.39718,1.20504,5.96e-05,5.96e-05,5.96e-05
100,3465,0.4252,0.27363,1.07172,0.89655,0.90182,0.94317,0.82024,0.65939,0.39877,1.19848,3.98e-05,3.98e-05,3.98e-05
